"timestamp","consent","lifesat","econnow","econfut","attcheck","discuss_nat","discuss_eu","discuss_loc","trust_media","trust_parties","trust_legal","trust_police","trust_army","trust_gov","trust_eu","trust_nato","imageeu","demsat","ukract_sanction","ukract_weapons","ukract_refugee","prolific_id","age","sex","residence","education","party"
NA,"I agree","Fairly satisfied","Rather bad","Better","Few times a month","Never","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Very positive","Fairly satisfied","Tend to agree","Tend to agree","Tend to agree","5H190RXF0N",24,"female","London",NA,NA
NA,"I agree","Very satisfied","Rather bad","The same","Few times a month","Occasionally","Occasionally","Never","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Very positive","Fairly satisfied","Totally agree","Totally agree","Totally agree","3ZXO0D1IJ9",21,"male","London",NA,NA
NA,"I agree","Fairly satisfied","Rather good","Worse","Never","Occasionally","Occasionally","Frequently","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Very positive","Very satisfied","Totally agree","Totally disagree","Tend to agree","6UG6YKVXG9",29,"male","Yorkshire and The Humber",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Worse","Never","Occasionally","Frequently","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Neutral","Fairly satisfied","Totally agree","Tend to agree","Tend to agree","0X3VP586XY",23,"female","Yorkshire and The Humber",NA,NA
NA,"I agree","Very satisfied","Rather bad","Better","Once a day","Occasionally","Frequently","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Very positive","Not very satisfied","Totally agree","Totally disagree","Totally agree","ZGSEC6UYN7",29,"male","South East",NA,NA
NA,"I agree","Fairly satisfied","Very bad","Better","Once a day","Frequently","Occasionally","Occasionally","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Neutral","Very satisfied","Tend to agree","Totally disagree","Totally agree","X8UDEBAQNY",21,"male","Northern Ireland",NA,NA
NA,"I agree","Fairly satisfied","Rather good","Better","Once a day","Occasionally","Frequently","Never","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Don't know","Very positive","Not very satisfied","Totally agree","Totally agree","Totally agree","6JB290KBNZ",25,"male","South East",NA,NA
NA,"I agree","Very satisfied","Rather bad","Worse","Once a day","Never","Never","Frequently","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Very positive","Fairly satisfied","Totally disagree","Tend to disagree","Totally agree","RMXUNY0ZC9",18,"female","London",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","The same","Couple of times a day","Occasionally","Occasionally","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Don't know","Tend not to trust","Tend to trust","Very positive","Fairly satisfied","Totally agree","Totally agree","Don't know","X2RIY9OBBD",24,"male","East of England",NA,NA
NA,"I agree","Fairly satisfied","Very bad","Worse","Once a day","Never","Occasionally","Occasionally","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Very positive","Not very satisfied","Tend to agree","Totally agree","Tend to agree","0X5X429YWG",21,"male","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Very good","The same","Few times a week","Frequently","Occasionally","Don't know","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Neutral","Not very satisfied","Totally agree","Tend to agree","Tend to agree","H6XWZ5Q43G",26,"male","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Very bad","The same","Once a day","Frequently","Frequently","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Don't know","Tend not to trust","Neutral","Not at all satisfied","Totally agree","Totally disagree","Don't know","YY53ON2HKN",24,"male","North East",NA,NA
NA,"I agree","Very satisfied","Rather bad","The same","Couple of times a day","Never","Never","Frequently","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Neutral","Fairly satisfied","Tend to agree","Tend to agree","Totally agree","WM5ZC10HAM",18,"male","North East",NA,NA
NA,"I agree","Fairly satisfied","Rather good","Worse","Once a day","Never","Never","Never","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Neutral","Not at all satisfied","Totally agree","Totally agree","Totally agree","H6U2PTJVV0",25,"female","Scotland",NA,NA
NA,"I agree","Very satisfied","Rather bad","The same","Once a day","Never","Occasionally","Occasionally","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Neutral","Fairly satisfied","Tend to agree","Totally disagree","Totally agree","8ANSGWMTRD",29,"male","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","The same","Couple of times a day","Occasionally","Never","Never","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Neutral","Fairly satisfied","Totally agree","Tend to agree","Totally agree","NDX1JNG1NV",19,"female","East of England",NA,NA
NA,"I agree","Very satisfied","Rather bad","Worse","Once a day","Never","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Fairly negative","Not at all satisfied","Totally agree","Totally agree","Totally agree","DDEICE3ERC",27,"male","South East",NA,NA
NA,"I agree","Very satisfied","Rather bad","The same","Once a day","Never","Frequently","Frequently","Tend not to trust","Tend to trust","Tend to trust","Don't know","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Very positive","Not very satisfied","Tend to agree","Totally disagree","Totally agree","RMVHSS0FXU",27,"male","South West",NA,NA
NA,"I agree","Very satisfied","Rather bad","The same","Once a day","Frequently","Frequently","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Neutral","Not at all satisfied","Totally agree","Totally agree","Totally agree","G1LCRAWOGV",19,"female","South West",NA,NA
NA,"I agree","Very satisfied","Very bad","Better","Once a day","Frequently","Never","Never","Tend not to trust","Tend not to trust","Don't know","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Very positive","Don't know","Totally agree","Tend to agree","Totally agree","307FUVOD8I",26,"male","West Midlands",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Worse","Once a day","Never","Occasionally","Never","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Neutral","Fairly satisfied","Tend to agree","Tend to disagree","Totally agree","PYG0XW0AZE",22,"male","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Rather good","The same","Once a day","Never","Occasionally","Frequently","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Neutral","Very satisfied","Tend to agree","Totally agree","Totally agree","88Y2ZQ1LO8",26,"male","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Don't know","Worse","Once a day","Occasionally","Never","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Neutral","Fairly satisfied","Tend to agree","Totally agree","Totally agree","XFBS3XR25S",29,"female","South West",NA,NA
NA,"I agree","Not very satisfied","Rather bad","Better","Once a day","Never","Never","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Very positive","Fairly satisfied","Totally agree","Totally disagree","Totally agree","BN18522QNA",28,"male","South West",NA,NA
NA,"I agree","Very satisfied","Rather bad","The same","Once a day","Never","Never","Never","Tend not to trust","Tend not to trust","Tend not to trust","Don't know","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Fairly positive","Not very satisfied","Tend to agree","Tend to disagree","Tend to agree","ZJZTFMWPWK",18,"female","South West",NA,NA
NA,"I agree","Very satisfied","Rather bad","Worse","Couple of times a day","Never","Never","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Neutral","Fairly satisfied","Tend to agree","Totally agree","Totally agree","F6A45IFEF6",22,"female","South East",NA,NA
NA,"I agree","Very satisfied","Rather bad","The same","Once a day","Occasionally","Occasionally","Never","Tend not to trust","Tend not to trust","Don't know","Tend not to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Neutral","Fairly satisfied","Totally agree","Totally agree","Totally agree","P4AXMNZBJ5",27,"male","South West",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Worse","Never","Occasionally","Frequently","Frequently","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Don't know","Very positive","Don't know","Totally agree","Totally agree","Tend to disagree","ZRZN4MCL8N",26,"male","East of England",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Better","Once a day","Occasionally","Never","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Very positive","Fairly satisfied","Totally agree","Totally agree","Totally disagree","8GVK9ORFEX",27,"male","East of England",NA,NA
NA,"I agree","Very satisfied","Rather bad","Better","Once a day","Never","Occasionally","Never","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Neutral","Very satisfied","Tend to agree","Totally agree","Tend to agree","C2FQFHM85H",29,"male","South West",NA,NA
NA,"I agree","Not very satisfied","Don't know","The same","Never","Never","Frequently","Frequently","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Very positive","Fairly satisfied","Totally agree","Tend to agree","Tend to agree","V9YOTIOS6A",23,"male","North East",NA,NA
NA,"I agree","Very satisfied","Rather bad","Worse","Once a day","Never","Occasionally","Frequently","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Don't know","Fairly positive","Not very satisfied","Totally agree","Tend to disagree","Totally agree","TGRH2EDIN6",18,"female","South East",NA,NA
NA,"I agree","Fairly satisfied","Very bad","Worse","Once a day","Never","Occasionally","Don't know","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Fairly positive","Fairly satisfied","Totally agree","Totally agree","Totally agree","L1YBXNA5N0",22,"female","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Very bad","Worse","Few times a month","Frequently","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Neutral","Not at all satisfied","Tend to agree","Totally agree","Totally agree","PRCBLHVK1H",26,"male","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Very bad","Worse","Once a day","Occasionally","Never","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Neutral","Fairly satisfied","Totally agree","Tend to agree","Totally agree","CDV2S6H5QP",27,"female","East Midlands",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Worse","Once a day","Occasionally","Frequently","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Fairly positive","Not very satisfied","Totally agree","Totally agree","Totally agree","K8II4GBXYY",18,"female","South East",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Better","Once a day","Occasionally","Never","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Don't know","Very satisfied","Totally agree","Totally agree","Tend to disagree","8OJM553LP3",25,"female","North East",NA,NA
NA,"I agree","Not at all satisfied","Don't know","Better","Once a day","Occasionally","Never","Frequently","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Don't know","Not very satisfied","Totally agree","Totally agree","Totally agree","5OWPWOFHSB",27,"male","South West",NA,NA
NA,"I agree","Not very satisfied","Rather bad","The same","Once a day","Never","Frequently","Occasionally","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Fairly positive","Not at all satisfied","Tend to disagree","Totally agree","Totally agree","KXVJXPGKU7",23,"female","South East",NA,NA
NA,"I agree","Fairly satisfied","Very bad","Worse","Once a day","Frequently","Occasionally","Occasionally","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Neutral","Not very satisfied","Totally disagree","Totally disagree","Tend to agree","UV7GPNT5S4",29,"male","Yorkshire and The Humber",NA,NA
NA,"I agree","Not very satisfied","Rather good","The same","Once a day","Frequently","Occasionally","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Don't know","Tend to trust","Fairly negative","Fairly satisfied","Don't know","Totally agree","Totally disagree","TO5XQG7KKE",28,"male","Yorkshire and The Humber",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","The same","Once a day","Occasionally","Occasionally","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Fairly negative","Not very satisfied","Tend to agree","Tend to disagree","Totally agree","53T8PEZLH5",27,"male","East Midlands",NA,NA
NA,"I agree","Very satisfied","Very good","Better","Once a day","Frequently","Never","Occasionally","Tend not to trust","Tend to trust","Don't know","Don't know","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Very positive","Not very satisfied","Totally agree","Totally agree","Totally agree","0XIJEMXA2S",29,"male","North West",NA,NA
NA,"I agree","Fairly satisfied","Very bad","The same","Once a day","Frequently","Frequently","Occasionally","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Don't know","Fairly positive","Not very satisfied","Tend to agree","Tend to agree","Totally agree","2RPSTJ3TDQ",22,"female","Yorkshire and The Humber",NA,NA
NA,"I agree","Fairly satisfied","Very bad","Better","Once a day","Never","Occasionally","Occasionally","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Very positive","Not very satisfied","Totally agree","Totally agree","Totally agree","A1DCRIQGBJ",23,"male","North East",NA,NA
NA,"I agree","Very satisfied","Rather bad","Better","Never","Never","Never","Never","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Fairly positive","Not at all satisfied","Tend to agree","Totally agree","Totally agree","WRREG61E53",19,"female","London",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","The same","Once a day","Frequently","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Fairly positive","Not at all satisfied","Totally agree","Don't know","Totally agree","J2QNA9IIWM",23,"male","North East",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Don't know","Once a day","Occasionally","Occasionally","Frequently","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Fairly negative","Not very satisfied","Totally agree","Tend to disagree","Totally agree","H40LLSKXNC",19,"female","South West",NA,NA
NA,"I agree","Very satisfied","Don't know","Don't know","Never","Never","Frequently","Never","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Neutral","Fairly satisfied","Totally agree","Totally agree","Totally agree","NMC1LIEZDJ",20,"female","North West",NA,NA
NA,"I agree","Not very satisfied","Rather good","The same","Once a day","Frequently","Never","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Fairly negative","Fairly satisfied","Totally agree","Totally agree","Tend to agree","E4OLWGQB57",29,"male","North East",NA,NA
NA,"I agree","Fairly satisfied","Rather good","Worse","Once a day","Never","Occasionally","Frequently","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Don't know","Tend not to trust","Tend to trust","Tend to trust","Neutral","Fairly satisfied","Tend to agree","Totally disagree","Totally agree","0ERTUJ7QSQ",26,"male","Scotland",NA,NA
NA,"I agree","Very satisfied","Rather bad","Better","Once a day","Never","Occasionally","Never","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Neutral","Not at all satisfied","Totally agree","Tend to agree","Totally agree","Y85N8QU8DO",27,"male","North West",NA,NA
NA,"I agree","Fairly satisfied","Very bad","The same","Once a day","Occasionally","Occasionally","Never","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Don't know","Tend not to trust","Tend to trust","Tend not to trust","Neutral","Not at all satisfied","Totally agree","Totally agree","Tend to agree","OBGP606CHV",21,"female","West Midlands",NA,NA
NA,"I agree","Fairly satisfied","Very bad","The same","Few times a month","Never","Frequently","Never","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Fairly positive","Don't know","Totally agree","Totally agree","Totally disagree","8O6C2IU3GJ",21,"female","East Midlands",NA,NA
NA,"I agree","Very satisfied","Very bad","Better","Once a day","Occasionally","Never","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Neutral","Very satisfied","Totally agree","Totally agree","Tend to agree","VIXFVYW2ME",28,"male","East Midlands",NA,NA
NA,"I agree","Fairly satisfied","Very bad","The same","Never","Occasionally","Occasionally","Frequently","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Tend to trust","Don't know","Fairly negative","Not very satisfied","Totally agree","Totally agree","Tend to agree","MHWAH4X7Z9",22,"male","North West",NA,NA
NA,"I agree","Very satisfied","Rather bad","Worse","Once a day","Frequently","Occasionally","Frequently","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Don't know","Neutral","Fairly satisfied","Totally agree","Totally agree","Tend to agree","OYU3UZ044L",24,"male","Yorkshire and The Humber",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Better","Few times a month","Occasionally","Never","Frequently","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Don't know","Tend to trust","Very positive","Not very satisfied","Totally agree","Tend to agree","Totally agree","ZG4JZPOC6Q",21,"male","Northern Ireland",NA,NA
NA,"I agree","Very satisfied","Rather bad","Better","Few times a week","Frequently","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Neutral","Don't know","Tend to agree","Don't know","Totally agree","CG13DMGZQ9",25,"female","Scotland",NA,NA
NA,"I agree","Not very satisfied","Rather bad","Better","Few times a week","Occasionally","Occasionally","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Don't know","Neutral","Not very satisfied","Totally agree","Tend to agree","Totally agree","OFXILL08XR",18,"female","South West",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Worse","Once a day","Occasionally","Frequently","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Fairly positive","Not very satisfied","Totally agree","Tend to disagree","Totally agree","P86K654RXJ",26,"female","Wales",NA,NA
NA,"I agree","Fairly satisfied","Don't know","Better","Once a day","Occasionally","Never","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Don't know","Tend not to trust","Tend to trust","Fairly positive","Not very satisfied","Totally agree","Totally agree","Totally agree","TJ6MM0XL7N",29,"female","West Midlands",NA,NA
NA,"I agree","Very satisfied","Very bad","Worse","Once a day","Frequently","Occasionally","Occasionally","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Don't know","Tend not to trust","Tend not to trust","Neutral","Not very satisfied","Totally agree","Tend to agree","Totally agree","FDWYK2XIU5",24,"male","Yorkshire and The Humber",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Don't know","Once a day","Frequently","Occasionally","Never","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Don't know","Fairly positive","Fairly satisfied","Tend to agree","Totally agree","Totally agree","I38E6NZ4HB",23,"female","North West",NA,NA
NA,"I agree","Not very satisfied","Rather bad","Don't know","Couple of times a day","Occasionally","Occasionally","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Don't know","Tend to trust","Neutral","Not very satisfied","Tend to agree","Tend to agree","Totally agree","M07MEPRIUL",27,"male","Yorkshire and The Humber",NA,NA
NA,"I agree","Very satisfied","Rather bad","Better","Once a day","Occasionally","Never","Occasionally","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Neutral","Fairly satisfied","Totally agree","Totally agree","Totally agree","LP3ZS0CQC3",20,"female","Yorkshire and The Humber",NA,NA
NA,"I agree","Fairly satisfied","Very bad","The same","Few times a month","Occasionally","Never","Frequently","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Very positive","Not very satisfied","Totally agree","Totally agree","Totally agree","D3GLUBNYKX",25,"male","South East",NA,NA
NA,"I agree","Very satisfied","Rather bad","Worse","Once a day","Never","Frequently","Frequently","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Neutral","Fairly satisfied","Totally agree","Totally agree","Totally agree","75CUXPGD7E",21,"male","South West",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","The same","Once a day","Never","Frequently","Never","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Don't know","Fairly satisfied","Tend to agree","Totally agree","Totally agree","4DOPNS747M",22,"male","South East",NA,NA
NA,"I agree","Not very satisfied","Very bad","The same","Once a day","Occasionally","Occasionally","Never","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Very positive","Fairly satisfied","Totally agree","Totally agree","Totally agree","X73BDA1TRS",21,"male","North West",NA,NA
NA,"I agree","Fairly satisfied","Rather good","Worse","Once a day","Occasionally","Never","Never","Tend not to trust","Don't know","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Very positive","Don't know","Totally agree","Tend to agree","Totally agree","7T7LK71JVX",18,"female","South West",NA,NA
NA,"I agree","Very satisfied","Very good","The same","Once a day","Occasionally","Frequently","Occasionally","Tend to trust","Don't know","Don't know","Tend not to trust","Don't know","Tend not to trust","Tend to trust","Tend to trust","Very negative","Don't know","Totally agree","Totally agree","Totally agree","IP3RAHNBE4",19,"male","Scotland",NA,NA
NA,"I agree","Not very satisfied","Rather bad","Worse","Once a day","Occasionally","Never","Frequently","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Don't know","Tend not to trust","Very negative","Fairly satisfied","Totally agree","Totally agree","Totally agree","Q1T49YY8MG",24,"male","South West",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Worse","Couple of times a day","Occasionally","Never","Occasionally","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Don't know","Very positive","Not at all satisfied","Totally agree","Totally disagree","Tend to agree","G7O3U2CGAM",20,"male","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Rather good","The same","Once a day","Occasionally","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Don't know","Tend not to trust","Tend not to trust","Tend to trust","Neutral","Fairly satisfied","Totally agree","Tend to disagree","Tend to agree","I2IFT97CII",25,"female","West Midlands",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Better","Once a day","Occasionally","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Very positive","Fairly satisfied","Totally agree","Totally disagree","Totally agree","Z7YK2K3SCK",24,"male","South West",NA,NA
NA,"I agree","Very satisfied","Rather bad","Worse","Once a day","Never","Frequently","Frequently","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Don't know","Tend not to trust","Tend not to trust","Tend to trust","Fairly positive","Fairly satisfied","Totally agree","Don't know","Totally agree","6W4A9K2S4A",25,"female","Northern Ireland",NA,NA
NA,"I agree","Fairly satisfied","Very good","Worse","Once a day","Occasionally","Occasionally","Occasionally","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Neutral","Not very satisfied","Tend to disagree","Totally agree","Totally agree","A4LT89XW84",25,"male","London",NA,NA
NA,"I agree","Fairly satisfied","Very good","Worse","Once a day","Occasionally","Occasionally","Occasionally","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Very positive","Not very satisfied","Tend to agree","Tend to disagree","Totally disagree","67WSMBQ7LV",28,"male","North East",NA,NA
NA,"I agree","Fairly satisfied","Rather good","Better","Once a day","Occasionally","Never","Frequently","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Don't know","Tend not to trust","Tend to trust","Tend to trust","Neutral","Very satisfied","Don't know","Totally agree","Totally agree","MBB3UGWA30",20,"male","West Midlands",NA,NA
NA,"I agree","Very satisfied","Rather good","Worse","Once a day","Occasionally","Never","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Fairly positive","Fairly satisfied","Totally agree","Totally agree","Tend to disagree","59QC912BBR",19,"female","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Don't know","Better","Few times a week","Occasionally","Frequently","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Fairly positive","Fairly satisfied","Tend to agree","Totally disagree","Tend to agree","DO5ZK8GA7C",29,"female","London",NA,NA
NA,"I agree","Not at all satisfied","Rather bad","The same","Once a day","Occasionally","Occasionally","Don't know","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Tend not to trust","Tend to trust","Very positive","Fairly satisfied","Totally agree","Totally agree","Totally agree","6ZOBVLRHKR",26,"male","Northern Ireland",NA,NA
NA,"I agree","Very satisfied","Rather good","Better","Never","Occasionally","Never","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Very positive","Very satisfied","Tend to agree","Tend to disagree","Totally agree","XN6EIDIEXO",28,"male","Yorkshire and The Humber",NA,NA
